x,y,z
-70,27,-1239
3,226,-1268
62,27,-1376
72,-189,-1288
-23,-95,-1063
-11,121,-1069
76,150,-1301
46,-91,-1393
-27,109,-1278
0,197,-1286
97,175,-1399
99,-181,-1354
-40,-54,-1138
-3,162,-1091
111,111,-1317
25,-44,-1366
-9,39,-1294
-7,253,-1294
152,144,-1403
29,-101,-1348
5,-134,-1091
-48,156,-1073
103,103,-1333
17,-66,-1442
-27,-7,-1319
-54,156,-1270
78,150,-1370
40,-74,-1372
-11,-101,-1136
-81,60,-1069
76,117,-1300
-17,-48,-1395
-52,13,-1268
-60,185,-1268
68,165,-1409
33,-173,-1423
-25,-119,-1134
-93,76,-1087
119,115,-1305
-27,0,-1485
-9,-19,-1344
-105,158,-1296
107,238,-1395
-33,-81,-1397
29,-156,-1147
-130,81,-1095
56,173,-1268
-56,-85,-1464
-27,-25,-1333
-54,91,-1303
64,277,-1382
-23,-46,-1397
25,-160,-1184
-113,78,-1098
97,167,-1270
-37,-29,-1397
0,-66,-1286
-93,115,-1247
95,165,-1366
0,-29,-1393
66,-191,-1180
-91,50,-1106
109,181,-1237
-5,-13,-1413
19,-95,-1335
-54,109,-1305
56,322,-1317
33,0,-1438
19,-142,-1259
-74,-44,-1167
29,126,-1253
-13,25,-1395
-15,-39,-1346
-58,85,-1329
31,210,-1407
62,-29,-1456
11,-62,-1249
-60,44,-1114
-15,177,-1194
-1,-91,-1407
-9,-78,-1374
-64,44,-1268
0,273,-1319
11,25,-1337
7,-121,-1292
-62,-50,-1112
-29,244,-1171
35,70,-1358
13,-121,-1401
-50,5,-1282
11,220,-1296
50,37,-1382
40,-105,-1319
-74,-31,-1145
11,163,-1151
5,70,-1346
15,-124,-1401
-70,17,-1296
1,191,-1360
62,105,-1438
62,-160,-1292
-68,-21,-1118
-42,183,-1151
27,89,-1389
-9,-99,-1458
-50,-21,-1325
-39,234,-1301
76,126,-1385
-21,-64,-1417
-29,-35,-1169
-68,142,-1165
74,128,-1323
-21,-136,-1405
-46,-21,-1356
-35,206,-1296
62,148,-1401
19,-132,-1327
-15,-70,-1130
-56,148,-1108
74,154,-1376
11,-78,-1444
-33,-39,-1307
-42,216,-1255
60,218,-1362
46,-130,-1417
-15,-191,-1227
-62,1,-1136
29,132,-1339
-5,-70,-1438
-21,19,-1286
-66,236,-1286
99,197,-1395
-7,-95,-1446
37,-236,-1241
-103,60,-1190
81,158,-1264
-52,0,-1356
9,-21,-1262
-56,228,-1329
117,128,-1479
-9,-85,-1475
60,-206,-1155
-76,60,-1081
46,265,-1225
3,21,-1436
-33,-17,-1378
-64,81,-1307
39,189,-1382
-21,-44,-1421
-5,-81,-1204
-121,0,-1069
46,146,-1184
-19,-64,-1399
9,23,-1356
-70,87,-1317
85,292,-1423
29,-21,-1450
56,-117,-1186
-99,-5,-1059
81,93,-1177
-19,-9,-1454
52,-70,-1428
-95,136,-1331
66,244,-1346
39,-27,-1440
7,-109,-1202
-54,-78,-1097
-11,214,-1212
11,5,-1426
-11,-21,-1403
-40,124,-1309
-21,185,-1323
37,-76,-1383
3,-187,-1264
-60,-50,-1122
27,222,-1200
21,37,-1421
60,3,-1354
-46,91,-1348
78,265,-1342
-5,52,-1444
85,-165,-1210
-121,-42,-1050
19,111,-1175
-19,-39,-1434
13,-39,-1401
-130,39,-1319
0,222,-1311
35,78,-1337
56,-89,-1300
-44,-81,-1159
3,234,-1173
17,33,-1360
-17,-87,-1383
-68,37,-1292
-54,203,-1342
121,11,-1395
3,-152,-1300
-33,-119,-1114
-44,117,-1138
64,105,-1364
11,-27,-1436
-60,140,-1329
-19,222,-1260
37,62,-1411
-25,-191,-1274
-54,-126,-1167
-56,95,-1145
1,9,-1346
-48,-40,-1411
-42,62,-1337
-74,396,-1296
48,206,-1423
3,-117,-1395
-3,-197,-1196
-93,89,-1153
66,39,-1292
-52,-74,-1421
29,-17,-1317
-117,409,-1233
124,158,-1405
-5,-83,-1358
62,-177,-1116
-81,128,-1108
85,156,-1323
29,-113,-1428
0,-183,-1317
-64,152,-1266
122,277,-1333
19,-17,-1341
19,-128,-1214
-68,-11,-1100
15,234,-1323
-25,80,-1376
-56,-60,-1288
-66,9,-1264
3,107,-1397
56,-3,-1442
-23,-35,-1225
-83,46,-1112
78,146,-1262
-21,80,-1460
3,-39,-1368
-74,78,-1214
85,68,-1376
-21,9,-1456
72,-173,-1245
-99,15,-1106
85,146,-1260
-3,58,-1440
50,-15,-1335
-44,72,-1214
37,156,-1321
19,3,-1387
19,-66,-1280
-99,-27,-1100
35,44,-1180
-80,142,-1282
-9,-15,-1337
-119,167,-1323
-1,132,-1315
-33,15,-1401
33,-101,-1243
-101,39,-1134
3,144,-1155
29,52,-1430
5,-76,-1401
-33,-19,-1270
37,214,-1352
66,-3,-1380
76,-191,-1249
-29,5,-1163
31,183,-1171
107,-21,-1333
15,15,-1315
-5,23,-1284
33,124,-1264
81,89,-1426
81,-224,-1290
-74,-44,-1128
-27,253,-1089
-78,165,-1362
31,-66,-1341
-115,-21,-1321
-9,203,-1282
-37,152,-1401
103,-150,-1387
-146,-23,-1149
0,78,-1110
66,21,-1335
27,-40,-1395
3,33,-1264
17,126,-1331
122,97,-1460
54,-81,-1368
-19,-39,-1141
-33,281,-1073
25,44,-1268
-3,-132,-1348
-113,5,-1298
-5,251,-1284
27,119,-1446
-27,-134,-1341
-33,-216,-1145
-39,154,-1073
60,277,-1239
15,-99,-1424
-56,11,-1292
-33,136,-1233
76,13,-1391
0,-138,-1362
7,-37,-1188
-68,126,-1114
21,265,-1284
-27,-83,-1321
23,-89,-1270
-35,165,-1280
89,206,-1514
5,-7,-1378
70,-222,-1153
-117,165,-1098
37,247,-1264
-5,-35,-1348
1,-197,-1344
-121,187,-1344
17,138,-1313
37,-111,-1380
-15,-162,-1155
-74,13,-1132
68,218,-1179
25,-93,-1411
-35,76,-1342
3,163,-1274
132,220,-1372
25,-64,-1383
33,-160,-1186
-89,-11,-1077
15,156,-1194
-93,19,-1333
-13,-68,-1348
-109,212,-1259
91,273,-1321
-54,-25,-1430
78,-165,-1214
-136,-70,-1052
117,91,-1184
-70,70,-1428
80,-3,-1333
-72,74,-1280
56,343,-1303
21,-111,-1409
44,-201,-1169
-121,-89,-1067
66,201,-1180
-5,70,-1348
25,-33,-1362
-68,144,-1309
17,203,-1380
62,23,-1366
39,-201,-1264
-99,-42,-1005
13,138,-1122
-19,-13,-1389
29,-171,-1368
-136,113,-1286
52,404,-1262
27,136,-1436
-15,13,-1262
-72,-210,-1020
29,89,-1143
-11,-13,-1370
-1,-52,-1323
11,-68,-1300
40,257,-1350
13,146,-1428
103,-136,-1300
-44,-64,-1059
17,146,-1048
-11,97,-1362
40,-76,-1370
-58,5,-1223
-33,165,-1259
37,46,-1333
89,-134,-1139
-80,-11,-927
-7,214,-940
-27,247,-1114
39,15,-1071
-107,52,-1024
-54,259,-862
1,-95,-884
29,-206,-812
-7,-218,-651
-7,150,-612
76,29,-804
-31,-80,-810
-11,130,-685
44,511,-720
23,343,-790
-23,-214,-753
-74,-183,-505
-54,-64,-499
-58,70,-712
7,-70,-847
-44,99,-794
-5,181,-737
56,85,-991
95,-64,-977
46,-56,-747
-9,245,-651
87,95,-888
15,29,-993
-17,-39,-985
-39,144,-1044
-9,15,-1034
0,-204,-995
-76,-259,-737
-95,121,-714
35,220,-1032
-64,167,-1253
-72,-19,-1106
-136,21,-1044
115,189,-991
-44,-109,-732
-46,-271,-819
-13,-89,-1149
13,68,-1171
-97,-269,-1052
-40,134,-1159
-35,394,-1091
54,220,-882
-15,35,-1184
136,-240,-1301
-48,-275,-1173
-1,201,-1145
109,-15,-1245
-5,-42,-1239
-74,130,-872
-29,283,-1198
99,-80,-1319
52,-105,-1145
-144,-52,-958
142,218,-1114
-21,167,-1159
37,52,-1057
-111,66,-1034
39,134,-1118
-66,-124,-1243
25,-204,-999
-109,5,-858
80,249,-946
-11,261,-1122
66,-31,-1052
-44,91,-985
50,286,-1057
13,173,-1128
58,-126,-794
-66,-220,-735
19,181,-827
27,0,-1061
134,-247,-1065
-35,40,-944
111,417,-966
83,242,-1040
122,91,-913
-15,-117,-700
52,-126,-671
-19,35,-876
56,-136,-972
-74,119,-936
-68,277,-880
-9,-23,-970
78,-117,-866
-148,56,-691
-50,286,-640
-78,56,-837
-17,-154,-940
-134,11,-829
-56,312,-847
46,-105,-935
60,-292,-837
-81,5,-525
-7,316,-509
21,201,-784
-13,-70,-970
-68,-35,-810
-21,117,-747
44,99,-825
27,-177,-745
3,-117,-536
-27,290,-569
7,74,-866
33,-203,-921
-89,138,-853
-19,251,-730
66,128,-888
-7,3,-835
-78,-247,-579
-33,-54,-646
33,-66,-976
19,-83,-987
-33,27,-817
-44,284,-808
99,240,-882
66,-56,-837
-64,-134,-659
-66,-11,-704
17,13,-876
-29,-40,-921
-113,-78,-765
-72,162,-737
93,130,-927
25,-105,-993
-44,-81,-745
-25,58,-691
83,271,-819
0,48,-911
-37,-80,-751
-5,19,-778
87,15,-946
0,-85,-968
56,-179,-661
-76,50,-581
95,366,-774
-13,187,-866
-11,-50,-792
-95,33,-864
15,87,-884
17,-117,-909
-5,-101,-694
-35,9,-597
17,162,-728
-1,0,-888
-21,48,-827
-52,181,-856
42,191,-897
48,-70,-890
3,-74,-657
-66,-1,-568
-13,146,-675
44,-89,-876
-33,-85,-894
-66,150,-858
48,329,-849
21,103,-784
-23,-181,-714
-111,-25,-589
39,210,-642
-5,89,-901
-56,-31,-874
-80,-44,-798
-19,152,-796
-7,99,-843
21,-13,-665
-87,58,-597
13,148,-583
-11,-66,-825
19,-72,-876
-97,175,-757
66,310,-771
50,-54,-851
46,-201,-677
-91,25,-505
-31,232,-616
3,-9,-798
15,-144,-812
-97,121,-741
31,167,-778
33,19,-833
56,-56,-692
-62,-46,-601
11,140,-610
40,-64,-792
-35,-70,-782
-56,-5,-726
31,101,-796
40,29,-899
62,-150,-806
-25,31,-581
64,132,-669
33,76,-833
1,17,-845
-68,80,-769
-56,228,-763
11,44,-813
0,-156,-778
-117,-150,-566
-76,-13,-587
-85,9,-745
-29,13,-813
-89,101,-720
-23,169,-774
31,154,-835
89,-89,-755
-13,-21,-640
13,5,-593
35,-1,-724
60,-132,-772
-80,46,-737
-5,203,-753
56,146,-831
5,-64,-817
-46,-181,-601
-72,160,-544
17,140,-743
-76,-19,-827
-19,-60,-819
-29,121,-778
11,247,-853
46,-122,-849
-21,-81,-671
-54,81,-544
-11,126,-661
-11,64,-771
7,-80,-796
-56,222,-829
80,140,-888
27,-54,-894
11,-138,-632
-50,-15,-488
37,185,-626
3,1,-835
-25,11,-798
-70,163,-710
58,261,-854
-9,-15,-835
54,-136,-605
-162,-21,-486
27,105,-593
-56,130,-761
-37,21,-776
-113,76,-810
33,251,-827
15,-15,-829
72,-165,-642
-64,-85,-542
111,130,-589
21,191,-808
56,7,-851
-60,78,-780
72,279,-786
11,23,-829
17,-183,-632
-140,-201,-484
23,-15,-556
-52,74,-837
25,109,-843
-74,87,-812
11,195,-858
-7,66,-853
58,21,-632
-64,-56,-523
5,-66,-609
5,-72,-774
-7,-31,-788
-83,199,-763
29,142,-749
46,-66,-854
27,-89,-618
-68,-40,-515
37,181,-534
-13,56,-810
27,-76,-862
-60,-5,-772
7,284,-757
39,-25,-796
33,-197,-673
-105,-124,-505
-9,80,-571
-9,160,-769
23,-25,-864
-62,-3,-815
-1,134,-827
39,81,-835
70,15,-706
-72,-132,-554
-9,19,-597
-3,46,-815
-19,29,-829
-89,7,-798
-72,124,-726
81,101,-769
9,-25,-749
-66,-68,-591
-27,81,-525
33,156,-772
-19,72,-829
-58,7,-757
-17,74,-685
9,-19,-763
29,-83,-751
-68,-50,-530
5,81,-519
0,152,-730
13,-15,-831
-29,46,-722
-27,296,-739
66,136,-817
17,-115,-810
-44,-185,-581
-50,35,-530
-17,206,-743
-7,-7,-917
-87,0,-776
-58,117,-739
68,206,-843
9,15,-792
-9,-179,-661
-72,33,-568
54,107,-679
11,-48,-800
-7,35,-808
-27,115,-716
3,218,-796
54,29,-788
5,-167,-550
-111,17,-482
0,185,-679
-1,19,-796
-33,-68,-763
-70,91,-696
72,195,-765
52,-11,-829
21,-156,-638
-56,-58,-495
19,165,-628
19,76,-851
-44,29,-780
-66,81,-683
19,201,-790
25,-35,-825
11,-214,-634
-76,-78,-503
-11,130,-626
1,-5,-810
-27,-1,-771
-66,76,-763
40,238,-884
25,72,-876
54,-228,-698
-111,-89,-491
21,177,-603
-9,85,-788
-5,-52,-819
-80,-5,-749
29,187,-757
31,-19,-837
44,-179,-663
-85,-46,-515
33,189,-568
37,83,-790
29,-42,-827
-74,9,-790
46,224,-784
21,-9,-835
-3,-195,-632
-85,-62,-478
0,185,-532
5,91,-831
23,-48,-841
-80,19,-749
9,230,-730
40,187,-813
60,-156,-675
-58,-167,-519
-1,148,-515
27,81,-812
5,-60,-804
-46,-15,-733
-21,197,-696
66,150,-798
70,-119,-737
-74,-162,-589
-5,222,-532
-9,195,-751
17,-52,-825
-91,-27,-745
9,279,-747
9,136,-854
60,-195,-737
-91,-156,-527
-50,156,-525
35,210,-790
5,-21,-817
-83,-17,-735
-31,177,-683
64,165,-829
-1,-89,-774
-52,-195,-589
-33,44,-581
9,150,-737
3,-3,-819
-66,-25,-782
-52,234,-776
76,185,-851
29,-83,-812
-29,-169,-599
-50,50,-517
7,142,-749
3,-56,-870
-68,-37,-772
-74,226,-726
99,230,-821
23,-115,-837
-21,-165,-585
-91,39,-482
31,195,-661
1,-39,-843
-72,-56,-735
-64,183,-687
40,175,-798
1,-83,-765
0,-187,-562
-72,54,-482
29,226,-648
13,-70,-817
-35,-58,-796
-62,165,-712
64,269,-812
25,-46,-821
-15,-242,-554
-85,5,-476
44,156,-687
-1,9,-843
-9,-60,-790
-68,152,-724
35,247,-772
21,-50,-843
-9,-189,-634
-56,-1,-562
9,156,-691
27,-44,-835
-44,-35,-739
-56,130,-716
37,259,-784
56,-27,-843
5,-193,-597
-91,-19,-478
39,162,-591
-27,15,-815
-7,-21,-765
-93,93,-685
58,242,-804
0,-25,-819
62,-201,-698
-85,-39,-542
54,191,-646
42,5,-817
31,-23,-862
-68,80,-796
48,249,-858
66,64,-913
29,-177,-778
-97,-105,-616
-27,179,-687
33,126,-923
271,-52,-894
-17,105,-938
540,132,-722
462,251,-1024
1067,-156,-726
532,-156,-683
722,99,-747
1081,-23,-806
921,226,-1046
1106,-134,-974
843,140,-933
1327,173,-913
1046,27,-983
1157,-208,-609
989,-21,-663
1272,119,-892
1116,146,-981
1024,-3,-839
1059,21,-854
1081,216,-1024
1171,85,-890
825,-144,-679
1057,-130,-630
874,244,-1028
1065,173,-1048
761,-50,-991
1044,-52,-821
829,236,-1032
1009,189,-890
802,-203,-759
886,-144,-675
927,142,-946
915,292,-1061
895,-29,-972
952,-62,-872
1122,204,-1036
1097,314,-1028
1177,-249,-835
1122,-117,-716
1292,142,-925
1301,320,-1032
1266,-15,-944
1294,-167,-862
1360,162,-1013
1284,203,-1050
1276,-148,-825
1098,-277,-679
1182,195,-901
1192,283,-972
1192,-122,-950
1106,-21,-895
1214,195,-1044
1155,284,-960
1134,-173,-792
1009,-222,-605
1044,179,-874
993,327,-1022
1007,-103,-1036
1046,13,-948
1075,167,-1128
1243,382,-1065
1249,-222,-806
1270,-382,-657
1286,165,-907
1153,388,-1112
1303,-146,-1046
1210,-185,-991
1268,474,-1132
1325,322,-1030
1407,-152,-833
1050,-284,-741
1370,19,-724
1319,322,-952
1467,-126,-1153
1139,-126,-1030
1456,314,-1007
1266,571,-1028
1460,-456,-819
1290,-187,-540
1512,167,-663
1223,310,-1167
1397,-271,-1202
1063,-66,-1038
1266,195,-1063
1161,343,-921
1253,-199,-659
1186,-447,-815
1180,212,-1026
1290,325,-1022
1208,204,-1149
1223,-103,-1011
1333,85,-1069
1300,392,-976
1239,-230,-938
1071,-128,-874
1344,17,-952
1122,503,-1036
1301,-183,-1106
1054,-216,-962
1309,150,-964
1333,407,-1011
1259,-163,-892
1221,-320,-772
1387,87,-925
1114,669,-870
1056,-109,-977
958,-398,-1050
1052,80,-1028
772,610,-1095
747,111,-976
878,-404,-948
429,-70,-815
497,577,-753
458,56,-907
445,-419,-948
156,-44,-1182
136,390,-987
226,419,-1030
39,-528,-935
15,-109,-780
103,212,-829
3,322,-1034
-167,-15,-1081
-130,-154,-1093
-277,337,-1231
-103,-56,-1132
-288,-160,-841
-283,85,-745
-368,21,-933
-150,13,-1050
-560,124,-991
-614,245,-1171
-991,-150,-1141
-99,-115,-936
-1667,156,-1264
-985,-281,-630
-1475,107,-882
-1102,99,-1079
-1692,365,-935
-1610,-150,-950
-1227,-144,-1124
-1670,111,-1104
-1294,-177,-751
-1631,-33,-929
-886,-35,-866
-1438,277,-1210
-829,-19,-1020
-1221,152,-1218
-679,-150,-1138
-1177,203,-1237
-872,-42,-1003
-921,-142,-890
-825,1,-944
-753,165,-933
-854,136,-1169
-609,60,-954
-714,-101,-1061
-532,122,-1075
-683,-91,-1026
-620,-136,-749
-708,-150,-876
-765,286,-1102
-772,163,-1089
-862,-58,-1042
-872,-1,-1009
-1042,218,-1073
-880,-142,-821
-1264,-97,-642
-1044,44,-778
-1231,5,-983
-1235,234,-1057
-1393,-245,-1044
-1378,-70,-1095
-1241,392,-1120
-1467,15,-987
-1380,-279,-870
-1348,9,-983
-1212,126,-1028
-1300,277,-1186
-1182,-156,-1015
-1208,37,-1130
-1057,240,-1071
-1157,-101,-999
-1206,-269,-831
-1091,-134,-970
-1161,300,-1157
-1073,111,-1159
-1171,-7,-1151
-931,-46,-1091
-1143,382,-1136
-882,-107,-942
-1321,-136,-833
-968,-222,-722
-1260,152,-1044
-1042,201,-1046
-1323,-70,-1067
-1136,35,-1077
-1268,97,-1114
-1372,169,-940
-1407,-376,-714
-1401,-64,-884
-1383,308,-1155
-1469,189,-1169
-1462,54,-1089
-1424,-204,-1026
-1432,292,-1052
-1341,35,-794
-1506,-244,-886
-1237,-368,-817
-1477,421,-1139
-1210,185,-1173
-1397,25,-1204
-1089,-62,-1071
-1116,230,-1108
-1028,226,-987
-1054,-337,-890
-1007,-224,-1001
-917,162,-1139
-1048,232,-1143
-874,-111,-946
-958,-78,-1075
-790,312,-1056
-919,62,-1001
-835,-206,-899
-808,-80,-944
-780,175,-1001
-812,167,-1056
-782,-134,-1007
-763,-54,-1042
-743,324,-1061
-808,-17,-1061
-772,-232,-923
-749,-267,-897
-689,331,-956
-675,179,-979
-587,-54,-1007
-538,-50,-1050
-433,257,-1139
-450,95,-1124
-341,-292,-931
-427,-72,-915
-304,206,-960
-281,136,-1069
-206,-103,-1052
-240,3,-1098
-148,310,-1087
-146,76,-1134
-105,-216,-985
-195,-101,-853
-115,253,-858
-107,80,-999
-76,-50,-1054
-101,1,-1118
-37,179,-1149
-56,99,-1106
-19,-204,-979
-144,-25,-815
-60,216,-817
-93,83,-1032
-83,-64,-1067
-179,37,-1044
-121,253,-1059
-122,37,-1151
-122,-244,-964
-263,-89,-829
-160,146,-847
-234,162,-1054
-140,-56,-1130
-310,29,-1122
-167,275,-1104
-220,113,-1159
-171,-183,-1022
-288,-83,-843
-195,175,-819
-187,58,-1011
-156,-85,-1118
-222,70,-1061
-119,238,-1091
-99,62,-1138
-66,-175,-1022
-169,-70,-819
-99,222,-808
-87,64,-1054
-46,-19,-1134
-111,31,-1071
-44,222,-1061
-27,40,-1095
19,-140,-1052
-113,-103,-815
-50,132,-790
-64,76,-1018
-35,-35,-1134
-101,97,-1075
-46,210,-1077
-9,124,-1147
52,-193,-1028
-93,-111,-862
-50,105,-792
-9,66,-1007
15,-56,-1128
-80,54,-1095
-54,185,-1001
21,124,-1139
-13,-97,-1093
-72,-83,-884
-76,105,-802
25,95,-1003
-21,-33,-1126
-39,66,-1089
-17,134,-1028
111,80,-1128
107,-124,-1059
37,-74,-870
23,50,-782
146,91,-987
97,-35,-1059
85,39,-1079
27,226,-1038
156,101,-1145
124,-126,-1118
1,-121,-892
-23,66,-794
5,152,-942
42,-44,-1128
-78,27,-1067
-39,121,-1038
-9,171,-1116
-33,-62,-1091
-54,-95,-921
-101,19,-808
-33,97,-931
-42,-35,-1083
-89,52,-1095
-56,142,-1069
9,128,-1145
-13,-31,-1104
11,-134,-940
-111,52,-825
-13,150,-942
-48,9,-1098
-74,-9,-1112
-68,121,-1036
-37,201,-1089
-15,-64,-1134
-21,-126,-974
-121,-21,-804
-33,132,-905
-42,29,-1079
-35,9,-1097
-117,163,-1028
-11,142,-1071
-54,-9,-1110
-9,-128,-983
-103,-5,-829
-56,162,-892
-21,-3,-1085
-52,-3,-1091
-87,144,-1071
-1,177,-1110
-5,-13,-1153
27,-148,-987
-111,-21,-825
-9,160,-866
15,15,-1102
21,-35,-1104
-52,76,-1024
-5,175,-1040
23,-17,-1132
40,-109,-1028
-83,-17,-851
40,91,-874
21,40,-1015
33,-27,-1083
-58,126,-1054
35,169,-1087
76,9,-1145
48,-156,-1007
-54,-19,-841
31,64,-860
15,46,-1026
35,-56,-1100
-58,80,-1065
25,173,-1030
33,74,-1098
66,-105,-1044
-27,-89,-876
7,54,-854
-1,93,-1042
31,-37,-1112
-72,50,-1052
-17,179,-1057
44,64,-1120
42,-109,-1108
-66,-89,-894
-5,70,-833
-21,117,-976
21,-44,-1112
-72,66,-1048
-21,181,-1052
3,97,-1138
29,-160,-1075
-78,-64,-870
-40,85,-837
-15,99,-987
15,-42,-1118
-72,42,-1077
-40,177,-1007
-1,111,-1122
11,-78,-1108
-35,-64,-931
-37,60,-823
-3,81,-954
-17,-11,-1063
-27,50,-1106
-44,138,-1028
50,140,-1139
15,-66,-1104
7,-101,-917
-72,50,-776
27,126,-966
5,-9,-1100
-25,-1,-1081
-54,162,-1028
46,154,-1114
39,-60,-1114
0,-81,-952
-31,19,-823
29,89,-931
-5,29,-1108
-15,19,-1079
-44,124,-1050
58,150,-1112
11,-54,-1108
7,-83,-952
-50,3,-833
5,126,-899
5,-13,-1075
-25,3,-1093
-48,130,-1028
39,156,-1136
-1,-44,-1138
23,-103,-968
-78,23,-804
35,109,-933
-29,19,-1075
21,-13,-1118
-64,89,-1015
9,163,-1091
9,-39,-1108
25,-119,-1018
-74,-15,-833
21,111,-897
-11,19,-1028
-3,-39,-1056
-68,103,-1059
7,165,-1077
21,7,-1153
11,-117,-989
-70,-7,-843
-21,126,-851
9,15,-1075
-7,-40,-1106
-78,99,-1042
25,175,-1085
3,15,-1116
66,-130,-1040
-76,-39,-862
0,81,-841
1,35,-1024
17,-40,-1083
-66,85,-1057
5,165,-1079
1,31,-1122
58,-115,-1026
-99,-27,-858
0,124,-845
-5,62,-1016
17,-35,-1112
-72,58,-1054
11,193,-1091
40,46,-1141
44,-99,-1056
-60,-56,-825
-1,111,-839
9,29,-1020
23,-35,-1114
-64,72,-1061
9,165,-1059
1,101,-1093
56,-74,-1061
-48,-99,-901
17,91,-839
-25,83,-999
21,-7,-1057
-72,42,-1083
5,193,-1069
9,105,-1143
40,-74,-1069
-54,-76,-890
-25,62,-810
-7,105,-991
21,-5,-1108
-56,9,-1075
-31,197,-1020
44,105,-1118
46,-80,-1063
-42,-44,-915
-15,33,-833
3,83,-950
-1,1,-1071
-78,37,-1098
-31,152,-1042
21,124,-1134
21,-54,-1085
-33,-70,-933
-39,33,-837
-21,60,-952
33,9,-1091
-19,19,-1089
-46,146,-1048
19,136,-1075
15,-58,-1128
9,-126,-944
-46,50,-806
130,101,-923
39,-31,-1138
181,-3,-1057
228,193,-1032
345,163,-1102
423,-80,-1085
464,-150,-968
437,95,-813
538,89,-985
614,-40,-1089
597,-13,-1087
538,247,-1098
718,156,-1136
728,-109,-1151
706,-146,-927
579,89,-798
677,126,-866
622,-89,-1065
609,-25,-1044
505,206,-1009
538,224,-1056
536,-74,-1098
493,-146,-987
392,72,-800
427,183,-882
419,-48,-1052
406,-56,-1083
277,191,-1052
331,195,-1104
325,-3,-1100
286,-226,-997
107,80,-851
154,142,-886
103,-3,-1065
134,-95,-1138
-17,222,-1067
54,232,-1044
72,-46,-1136
97,-156,-1026
-54,-5,-882
-11,158,-856
13,-13,-1069
0,-21,-1104
-52,124,-1057
-17,234,-1050
56,-25,-1132
95,-144,-1067
-62,-1,-845
-5,126,-843
56,-19,-1020
21,-35,-1091
-50,124,-1026
-13,236,-1065
105,-29,-1159
35,-115,-1069
-19,-50,-841
-33,156,-829
39,23,-1024
48,-46,-1124
-52,148,-1042
44,158,-1056
83,60,-1114
111,-103,-1069
-11,-27,-890
56,50,-833
62,50,-991
109,-54,-1071
-44,130,-1038
74,165,-1044
101,62,-1136
83,-76,-1075
-7,-44,-876
-76,56,-808
0,58,-970
9,-62,-1087
11,101,-1073
-15,158,-1038
89,134,-1149
111,-142,-1116
117,-54,-929
66,33,-833
58,142,-981
136,-23,-1114
78,-19,-1083
25,179,-1022
210,87,-1118
162,-80,-1108
148,-154,-931
-1,25,-794
119,140,-936
103,-76,-1087
5,91,-1061
64,150,-1020
87,167,-1155
56,-70,-1130
31,-126,-950
-40,25,-778
-17,160,-938
-27,3,-1102
-72,15,-1083
-68,103,-987
-42,150,-1098
-33,-19,-1081
-25,-91,-987
-136,0,-835
-58,109,-940
-85,40,-1034
-58,-13,-1083
-126,136,-1032
-31,146,-1132
-11,9,-1151
-19,-122,-974
-126,13,-839
-40,97,-911
-21,39,-1059
11,-40,-1071
-48,124,-1071
23,206,-1073
44,19,-1138
81,-189,-1001
-25,-23,-854
39,130,-839
17,80,-1081
42,-39,-1069
-44,50,-1059
23,185,-1056
15,46,-1161
124,-122,-1026
-74,-37,-854
13,83,-849
-44,48,-1028
60,-11,-1085
-80,70,-1034
-9,203,-1118
7,-29,-1149
74,-78,-1030
-78,-31,-829
7,111,-853
21,52,-1022
85,-40,-1114
-68,74,-1048
37,175,-1052
15,58,-1124
95,-101,-1046
-89,-39,-907
33,70,-866
-21,60,-999
44,-17,-1046
-27,60,-1098
58,167,-1073
44,89,-1136
134,-103,-1065
-39,-66,-870
-25,62,-810
-39,105,-993
33,-50,-1095
-66,-17,-1079
-42,206,-1028
7,95,-1097
56,-87,-1102
-83,-111,-884
-39,72,-817
-39,87,-993
13,-13,-1110
-117,35,-1059
-62,191,-1057
-48,107,-1141
27,-66,-1104
-87,-91,-927
-58,23,-843
-72,109,-931
7,-31,-1083
-80,56,-1071
-9,140,-1054
-33,138,-1126
78,-64,-1122
-15,-119,-907
-33,56,-800
11,66,-946
35,58,-1081
7,17,-1118
-56,171,-1028
29,103,-1098
89,-19,-1098
31,-70,-940
-19,7,-821
0,66,-929
21,3,-1057
-50,58,-1057
-17,122,-1065
15,115,-1104
56,-31,-1132
19,-74,-936
-40,-3,-813
-17,113,-899
27,-27,-1098
0,46,-1057
-21,85,-1061
23,156,-1112
31,3,-1124
21,-101,-1001
-58,-25,-864
-17,89,-897
27,13,-1056
-3,25,-1118
-25,58,-1046
9,167,-1106
80,-5,-1120
60,-93,-983
-39,-46,-817
-21,111,-884
-11,13,-1044
37,-25,-1102
-103,109,-1028
37,173,-1083
3,19,-1130
64,-107,-1022
-83,-42,-829
-31,111,-866
-19,39,-1050
-33,-13,-1104
-89,68,-1069
-21,144,-1069
19,40,-1126
29,-70,-1046
-85,-44,-866
-19,46,-851
-3,37,-1013
-11,3,-1075
-60,70,-1048
-27,163,-1085
3,31,-1132
33,-80,-1069
-68,-25,-860
-31,42,-845
-23,105,-1015
7,-48,-1106
-76,91,-1069
5,128,-1050
15,97,-1141
39,-78,-1038
-54,-70,-888
11,29,-851
-29,29,-962
17,-40,-1059
-78,101,-1077
0,132,-1054
7,66,-1108
29,-48,-1087
-33,-62,-884
-19,29,-841
-27,101,-979
58,-7,-1095
